id;author;category;topic
1;nikolai;basic;falls du dir schon mal einen ganzen Tag nicht die Zähne geputzt hast.
2;nikolai;basic;falls du dich im Internet schon mal als jemand anders ausgegeben hast.
3;nikolai;basic;falls du bei diesem Spiel schon mal etwas über eine Person erfahren hast, das du lieber nicht gewusst hättest.
4;nikolai;hot;falls du schon mal jemanden entjungfert hast.
5;nikolai;hot;falls du schon mal einen Haushaltsgegenstand in dich gesteckt hast.
6;nikolai;hot;falls du schon mal jemanden in dieser Runde beim Sex gehört hast.
7;nikolai;hot;falls du schon mal einen Dreier hattest.
8;nikolai;hot;falls du schon mal in diesem Haus masturbiert hast.
9;nikolai;hot;falls du schon mal zwei regelmäßige Sexpartner zur gleichen Zeit hattest.
10;nikolai;hot;falls du schon mal Sex mit einem Ex-Partner hattest.
11;nikolai;hot;falls du schon mal Sex mit jemandem hattest, der mindestens 10 Jahre älter war als du.
12;nikolai;hot;falls du schon mal Sex mit jemandem hattest, der mindestens 10 Jahre jünger war als du.
13;nikolai;basic;falls du schon mal jemanden geghosted hast.
14;nikolai;basic;falls du schon mal jemanden bei einem Date versetzt hast.
15;nikolai;basic;falls du schon mal per SMS oder Chat Schluss gemacht hast.
16;nikolai;basic;falls du schon mal die Zahnbürste von jemand anderem benutzt hast.
17;nikolai;basic;falls du dich schon mal auf den ersten Blick verliebt hast.
18;nikolai;basic;falls du schon mal "Ich liebe dich" gesagt hast, obwohl du es nicht ehrlich meintest.
19;nikolai;hot;falls du schon mal Sex an einem öffentlichen Ort hattest.
20;nikolai;hot;falls du schon mal den falschen Namen im Bett gestöhnt hast.
21;nikolai;hot;falls du schon mal eine Freundschaft Plus hattest.
22;nikolai;hot;falls du schon mal mit jemandem Sex hattest dessen Namen du nicht kanntest.
23;nikolai;hot;falls du schon mal Sex in einem Pool hattest.
24;nikolai;hot;falls du schon mal Sex in einem See hattest.
25;nikolai;hot;falls du schon mal einen Lapdance gegeben oder bekommen hast.
26;nikolai;hot;falls du schon mal an deiner sexuellen Orientierung gezweifelt hast.
27;nikolai;basic;falls du schon mal eine offene Beziehung hattest.
28;nikolai;basic;falls du dich schon mal übers Internet verliebt hast.
29;nikolai;basic;falls du schon mal gekotzt und dann trotzdem weiter getrunken hast.
30;nikolai;basic;falls du schon mal einen Lehrer oder eine Lehrerin verliebt warst.
31;nikolai;basic;falls du schon mal in den Bruder oder die Schwester eines Freundes verliebt warst.
32;nikolai;basic;falls du dich schon mal auf eine Party geschlichen hast, zu der du nicht eingeladen warst.
33;nikolai;basic;falls du schon mal in Handschellen warst.
34;nikolai;hot;falls du schon mal ein anderes Paar beim Sex beobachtet hast.
35;nikolai;hot;falls du schon mal beim masturbieren zugeschaut hast.
