id;author;category;topic
1;nikolai;basic;wer am ehesten aus Versehen jemanden umbringen würde. Derjenige trinkt 3 Schlucke.
2;nikolai;basic;wer die besten Chancen hat, berühmt zu werden. Der Star trinkt 3 Schlucke.
3;nikolai;basic;wer das größte Social Media Opfer ist. Derjenige trinkt 3 Schlucke.
4;nikolai;basic;wer am schönsten ist. Die Schönheit trinkt 3 Schlucke.
5;nikolai;basic;wer am trinkfestesten ist. 3 Schlucke für den Trunkenbold.
6;nikolai;basic;wer die dümmste Person ist. 3 Schlucke für den Trottel.
7;nikolai;basic;wer am sportlichsten ist. 3 Schlucke für die Sportskanone.
8;nikolai;basic;wer am meisten an Geister glaubt. 3 Schlucke für das Medium.
9;nikolai;basic;wer am ehesten eine Bank ausrauben würde. 3 Schlucke für den Panzerknacker.
10;nikolai;basic;wer am ehesten mit einem Mord davonkommen würde. 3 Schlucke für das kriminelle Genie.
11;nikolai;basic;wer am kreativsten ist. 3 Schlucke für den Feingeist.
12;nikolai;basic;wer am ehesten wichtigste Geburtstage vergisst. Derjenige trinkt 3 Schlucke.
13;nikolai;basic;wer wohl am meisten Kinder haben wird. Derjenige trinkt 3 Schlucke.
14;nikolai;basic;wer am ehesten einen Weltrekord brechen würde. Derjenige trinkt 3 Schlucke.
15;nikolai;basic;wer am meisten im falschen Moment lacht. Derjenige trinkt 3 Schlucke.
16;nikolai;basic;wer der größte Nerd ist. Derjenige trinkt 3 Schlucke.
17;nikolai;basic;wer am witzigsten ist. Der Komiker trinkt 3 Schlucke.
18;nikolai;basic;wer am besten lügen kann. Der Schwindler trinkt 3 Schlucke.
19;nikolai;basic;wer am schlechtesten mit Geld umgehen kann. Derjenige trinkt 3 Schlucke.
20;nikolai;basic;wer am wahrscheinlichsten ins Gefängnis kommt. Der Gangster trinkt 3 Schlucke.
21;nikolai;basic;wer den heißesten Partner hat. Der oder die glückliche trinkt 3 Schlucke.
22;nikolai;basic;wer am wenigsten schläft. Der oder die Schlaflose trinkt 3 Schlucke.
23;nikolai;basic;wer am ehesten ein Alien ist. Der Außerirdische trinkt 3 Schlucke.
24;nikolai;basic;wer den schlechtesten Musikgeschmack hat. Derjenige trinkt 3 Schlucke.
25;nikolai;basic;wer am ehrlichsten ist. Derjenige trinkt 3 Schlucke.
26;nikolai;basic;wer am besten kochen kann. Derjenige trinkt 3 Schlucke.
27;nikolai;basic;wer am besten Spagat machen kann. Die Ballerina trinkt 3 Schlucke.
28;nikolai;basic;wer am ehesten eine gespaltene Persönlichkeit hat. Diejenigen trinken 3 Schlucke.
29;nikolai;basic;wer am besten die Klamotten des linken Sitznachbarn tragen könnte. Derjenige trinkt 3 Schlucke.
30;nikolai;basic;wer am reichsten ist. Krösus trinkt 3 Schlucke.
31;nikolai;halloween;wer am ehesten das Zeug zum Serienmörder hat. Derjenige trinkt 3 Schlucke.
32;nikolai;halloween;wer am schreckhaftesten ist. Der Angsthaste trinkt 3 Schlucke.
33;nikolai;halloween;wer am meisten Mühe in Halloween-Kostüme steckt. Derjenige trinkt 3 Schlucke.
34;nikolai;hot;wer, am ehesten polygam ist. Derjenige trinkt 3 Schlucke.
35;nikolai;hot;wer am dringendsten mal wieder Sex nötig hat. Derjenige trinkt 3 Schlucke.
36;nikolai;hot;wer schon am häufigsten Sex hatte. 3 Schlucke für den Schwerenöter.
37;nikolai;hot;wer am ehesten in einen Swingerclub gehen würde. Derjenige trinkt 3 Schlucke.
38;nikolai;hot;wer wohl die größte Sextoy-Sammlung hat. Derjenige trinkt 3 Schlucke.
39;nikolai;hot;wer wohl am lautesten beim Sex ist. Derjenige trinkt 3 Schlucke.
40;nikolai;hot;wer am ehesten eine Affäre am Arbeitsplatz hat. Derjenige trinkt 3 Schlucke.
41;nikolai;hot;wer als Pornostar am erfolgreichsten wäre. Derjenige trinkt 3 Schlucke.
42;rebecca;basic;wer am ehesten eine Schönheits-OP machen würde. Derjenige trinkt 3 Schlucke.
43;rebecca;hot;wer würde am ehesten mit seinem besten Freund / seiner besten Freundin schlafen? Derjenige trinkt 3 Schlucke.
